feature,importance
cat__BsmtQual_None,0.0
cat__LotShape_IR3,0.0
cat__Exterior1st_Stucco,0.0
cat__Foundation_Stone,0.0
cat__LotConfig_FR3,0.0
cat__Foundation_CBlock,0.0
cat__ExterCond_Gd,0.0
cat__ExterCond_Ex,0.0
cat__Exterior2nd_Stone,0.0
cat__Exterior2nd_Other,0.0
cat__Exterior2nd_ImStucc,0.0
cat__Exterior2nd_HdBoard,0.0
cat__Exterior2nd_CmentBd,0.0
cat__Exterior2nd_CBlock,0.0
cat__Exterior2nd_AsphShn,0.0
cat__Exterior2nd_BrkFace,0.0
